h,0 progresywna trzypunktowa,0 progresywna dwupunktowa,$\dfrac{\pi}{4}$ wsteczna trzypunktowa,$\dfrac{\pi}{4}$ wsteczna dwupunktowa,$\dfrac{\pi}{4}$ centralna dwupunktowa,$\dfrac{\pi}{4}$ progresywna dwupunktowa,$\dfrac{\pi}{4}$ progresywna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna dwupunktowa
2.45309e-12,0,0,8.33063e-05,3.80481e-05,1.5419e-05,7.21008e-06,2.98392e-05,6.12303e-17,6.12303e-17
2.04424e-12,0,0,7.21008e-06,7.21008e-06,7.21008e-06,7.21008e-06,7.21008e-06,6.12303e-17,6.12303e-17
1.70353e-12,0,0,0.000123134,5.79617e-05,2.53758e-05,7.21008e-06,7.21008e-06,6.12303e-17,6.12303e-17
1.41961e-12,0,0,0.000123134,4.49274e-05,5.82428e-06,3.32788e-05,3.32788e-05,6.12303e-17,6.12303e-17
1.18301e-12,0,0,0.000127126,3.32788e-05,3.32788e-05,3.32788e-05,3.32788e-05,6.12303e-17,6.12303e-17
9.85841e-13,0,0,9.81075e-05,1.45093e-05,1.45093e-05,1.45093e-05,4.17991e-05,6.12303e-17,6.12303e-17
8.21534e-13,0,0,5.30608e-05,5.30608e-05,1.45093e-05,8.20794e-05,8.20794e-05,6.12303e-17,6.12303e-17
6.84612e-13,0,0,5.30608e-05,5.30608e-05,5.30608e-05,5.30608e-05,5.30608e-05,6.12303e-17,6.12303e-17
5.7051e-13,0,0,0.00031253,0.000117928,2.06271e-05,7.66738e-05,7.66738e-05,6.12303e-17,6.12303e-17
4.75425e-13,0,0,0.000468212,0.000234689,0.000117928,1.16694e-06,1.16694e-06,6.12303e-17,6.12303e-17
3.96187e-13,0,0,0.000374803,9.45759e-05,4.55375e-05,0.000185651,0.000185651,6.12303e-17,6.12303e-17
3.30156e-13,0,0,0.000262712,7.35602e-05,7.35602e-05,7.35602e-05,7.35602e-05,6.12303e-17,6.12303e-17
2.7513e-13,0,0,0.000128203,0.000128203,7.35602e-05,0.000275323,0.000477087,6.12303e-17,6.12303e-17
2.29275e-13,0,0,0.000128203,0.000128203,0.000113913,0.000356029,0.000598145,6.12303e-17,6.12303e-17
1.91063e-13,0,0,0.000646568,6.54897e-05,6.54897e-05,6.54897e-05,6.54897e-05,6.12303e-17,6.12303e-17
1.59219e-13,0,0,5.0726e-05,5.0726e-05,5.0726e-05,5.0726e-05,5.0726e-05,6.12303e-17,6.12303e-17
1.32682e-13,0,0,0.000786027,5.0726e-05,5.0726e-05,5.0726e-05,5.0726e-05,6.12303e-17,6.12303e-17
1.10569e-13,0,0,0.000218077,0.000218077,0.000283975,0.000786027,0.00128808,6.12303e-17,6.12303e-17
9.21405e-14,0,0,0.00138849,0.000183565,0.000183565,0.000183565,0.000183565,6.12303e-17,6.12303e-17
7.67838e-14,0,0,0.00138849,5.742e-05,0.000665534,0.00138849,0.00211144,6.12303e-17,6.12303e-17
6.39865e-14,0,0,0.00266006,0.000924965,5.742e-05,0.000810125,0.00167767,6.12303e-17,6.12303e-17
5.33221e-14,0,0,0.00335409,0.00127198,0.000230929,0.000810125,0.00185118,6.12303e-17,6.12303e-17
4.4435e-14,0,0,0.00252125,0.00252125,0.00127198,2.27182e-05,2.27182e-05,6.12303e-17,6.12303e-17
3.70292e-14,0,0,0.000476988,0.000476988,0.00197611,0.00347522,0.00497434,6.12303e-17,6.12303e-17
3.08577e-14,0,0,0.0019216,0.0019216,0.000122659,0.00167628,0.00167628,6.12303e-17,6.12303e-17
2.57147e-14,0,0,0.000956706,0.000956706,0.000956706,0.000956706,0.000956706,6.12303e-17,6.12303e-17
2.14289e-14,0,0,0.00249726,0.00249726,9.32136e-05,0.00268369,0.00527417,6.12303e-17,6.12303e-17
1.78574e-14,0,0,0.0107868,0.00456964,0.00146107,0.0016475,0.0016475,6.12303e-17,6.12303e-17
1.48812e-14,0,0,0.00581307,0.00581307,0.00208279,0.0016475,0.0016475,6.12303e-17,6.12303e-17
1.2401e-14,0,0,0.0087973,0.000155385,0.00463173,0.00910807,0.0135844,6.12303e-17,6.12303e-17
1.03342e-14,0,0,0.0195405,0.0087973,0.00342569,0.00194592,0.00194592,6.12303e-17,6.12303e-17
8.61181e-15,0,0,0.0109459,0.00194592,0.00839186,0.0148378,0.0212837,6.12303e-17,6.12303e-17
7.17651e-15,0,0,0.0045243,0.0045243,0.0045243,0.0045243,0.0045243,6.12303e-17,6.12303e-17
5.98042e-15,0,0,0.0016638,0.0016638,0.00761834,0.0169005,0.0261826,6.12303e-17,6.12303e-17
4.98369e-15,0,0,0.0387924,0.0165152,0.00537666,0.00576191,0.00576191,6.12303e-17,6.12303e-17
4.15307e-15,0,0,0.0120598,0.0120598,0.00130649,0.0146728,0.0280391,6.12303e-17,6.12303e-17
3.46089e-15,0,0,0.00136677,0.00136677,0.00136677,0.00136677,0.00136677,6.12303e-17,6.12303e-17
2.88408e-15,0,0,0.0141984,0.0141984,0.00504905,0.0242965,0.043544,6.12303e-17,6.12303e-17
2.4034e-15,0,0,0.0603923,0.0141984,0.00889854,0.0319955,0.0550924,6.12303e-17,6.12303e-17
2.00283e-15,0,0,0.0419147,0.0419147,0.0141984,0.0135179,0.0135179,6.12303e-17,6.12303e-17
1.66903e-15,0,0,0.0419147,0.0419147,0.00865514,0.0246045,0.0246045,6.12303e-17,6.12303e-17
1.39086e-15,0,0,0.0911237,0.0113006,0.0512121,0.0911237,0.131035,6.12303e-17,6.12303e-17
1.15905e-15,0,0,0.132381,0.0365932,0.0365932,0.0365932,0.084487,6.12303e-17,6.12303e-17
9.65872e-16,0,0,0.0174357,0.0174357,0.0400369,0.0975095,0.154982,6.12303e-17,6.12303e-17
8.04893e-16,0,0,0.120499,0.0174357,0.0174357,0.0174357,0.0174357,6.12303e-17,6.12303e-17
6.70744e-16,0,0,0.0450225,0.0450225,0.037738,0.120499,0.203259,6.12303e-17,6.12303e-17
5.58954e-16,0,0,0.309856,0.111231,0.0119183,0.0873943,0.186707,6.12303e-17,6.12303e-17
4.65795e-16,0,0,0.230406,0.230406,0.111231,0.00794422,0.00794422,6.12303e-17,6.12303e-17
3.88162e-16,0,0,0.135066,0.135066,0.135066,0.135066,0.278076,6.12303e-17,6.12303e-17
3.23468e-16,0,0,0.0206578,0.0206578,0.0206578,0.0206578,0.19227,6.12303e-17,6.12303e-17
2.69557e-16,0,0,0.116632,0.295237,0.0893027,0.116632,0.322567,6.12303e-17,6.12303e-17
2.24631e-16,0,0,0.28138,0.212864,0.0342581,0.28138,0.528501,6.12303e-17,6.12303e-17
